================ Training Loss (Wed Feb 25 14:21:29 2026) ================
[Rank 0] (epoch: 30, iters: 140, time: 0.419, data: 0.004) , G_GAN: 0.904, G_L1: 3.508, D_real: 0.013, D_fake: 0.020

[Rank 0] (epoch: 31, iters: 100, time: 0.423, data: 0.214) , G_GAN: 0.851, G_L1: 3.632, D_real: 0.176, D_fake: 0.372

[Rank 0] (epoch: 32, iters: 60, time: 1.255, data: 0.004) , G_GAN: 1.052, G_L1: 5.208, D_real: 0.058, D_fake: 0.013

[Rank 0] (epoch: 33, iters: 20, time: 0.422, data: 0.004) , G_GAN: 0.948, G_L1: 3.131, D_real: 0.009, D_fake: 0.012

[Rank 0] (epoch: 33, iters: 120, time: 0.454, data: 0.004) , G_GAN: 0.948, G_L1: 2.813, D_real: 0.055, D_fake: 0.044

[Rank 0] (epoch: 34, iters: 80, time: 0.422, data: 0.004) , G_GAN: 1.097, G_L1: 3.367, D_real: 0.015, D_fake: 0.019

[Rank 0] (epoch: 35, iters: 40, time: 1.245, data: 0.004) , G_GAN: 0.915, G_L1: 2.560, D_real: 0.014, D_fake: 0.018

[Rank 0] (epoch: 35, iters: 140, time: 0.420, data: 0.004) , G_GAN: 0.905, G_L1: 3.791, D_real: 0.014, D_fake: 0.009

[Rank 0] (epoch: 36, iters: 100, time: 0.422, data: 0.212) , G_GAN: 1.210, G_L1: 3.842, D_real: 0.055, D_fake: 0.067

[Rank 0] (epoch: 37, iters: 60, time: 0.422, data: 0.004) , G_GAN: 0.952, G_L1: 4.104, D_real: 0.012, D_fake: 0.040

[Rank 0] (epoch: 38, iters: 20, time: 1.264, data: 0.004) , G_GAN: 1.004, G_L1: 3.207, D_real: 0.017, D_fake: 0.019

[Rank 0] (epoch: 38, iters: 120, time: 0.422, data: 0.003) , G_GAN: 0.959, G_L1: 3.194, D_real: 0.018, D_fake: 0.014

[Rank 0] (epoch: 39, iters: 80, time: 0.422, data: 0.005) , G_GAN: 0.771, G_L1: 3.141, D_real: 0.132, D_fake: 0.032

[Rank 0] (epoch: 40, iters: 40, time: 0.423, data: 0.006) , G_GAN: 0.979, G_L1: 2.702, D_real: 0.015, D_fake: 0.005

[Rank 0] (epoch: 40, iters: 140, time: 1.277, data: 0.004) , G_GAN: 1.020, G_L1: 2.588, D_real: 0.010, D_fake: 0.009

[Rank 0] (epoch: 41, iters: 100, time: 0.422, data: 0.226) , G_GAN: 1.046, G_L1: 2.624, D_real: 0.004, D_fake: 0.003

[Rank 0] (epoch: 42, iters: 60, time: 0.423, data: 0.004) , G_GAN: 0.974, G_L1: 2.549, D_real: 0.015, D_fake: 0.006

[Rank 0] (epoch: 43, iters: 20, time: 0.422, data: 0.003) , G_GAN: 0.862, G_L1: 3.094, D_real: 0.007, D_fake: 0.006

[Rank 0] (epoch: 43, iters: 120, time: 1.258, data: 0.004) , G_GAN: 0.894, G_L1: 3.801, D_real: 0.022, D_fake: 0.015

[Rank 0] (epoch: 44, iters: 80, time: 0.423, data: 0.004) , G_GAN: 1.036, G_L1: 3.281, D_real: 0.014, D_fake: 0.025

[Rank 0] (epoch: 45, iters: 40, time: 0.425, data: 0.004) , G_GAN: 0.988, G_L1: 2.610, D_real: 0.046, D_fake: 0.021

[Rank 0] (epoch: 45, iters: 140, time: 0.420, data: 0.004) , G_GAN: 0.986, G_L1: 2.223, D_real: 0.003, D_fake: 0.001

[Rank 0] (epoch: 46, iters: 100, time: 1.247, data: 0.207) , G_GAN: 0.953, G_L1: 3.022, D_real: 0.005, D_fake: 0.001

[Rank 0] (epoch: 47, iters: 60, time: 0.420, data: 0.004) , G_GAN: 1.101, G_L1: 2.716, D_real: 0.017, D_fake: 0.013

[Rank 0] (epoch: 48, iters: 20, time: 0.422, data: 0.005) , G_GAN: 0.975, G_L1: 3.085, D_real: 0.013, D_fake: 0.007

[Rank 0] (epoch: 48, iters: 120, time: 0.422, data: 0.004) , G_GAN: 1.056, G_L1: 2.619, D_real: 0.009, D_fake: 0.016

[Rank 0] (epoch: 49, iters: 80, time: 1.299, data: 0.004) , G_GAN: 0.992, G_L1: 3.820, D_real: 0.007, D_fake: 0.005

[Rank 0] (epoch: 50, iters: 40, time: 0.422, data: 0.003) , G_GAN: 1.011, G_L1: 2.312, D_real: 0.013, D_fake: 0.025

[Rank 0] (epoch: 50, iters: 140, time: 0.419, data: 0.004) , G_GAN: 0.964, G_L1: 2.456, D_real: 0.024, D_fake: 0.028

[Rank 0] (epoch: 51, iters: 100, time: 0.424, data: 0.211) , G_GAN: 0.965, G_L1: 4.516, D_real: 0.006, D_fake: 0.004

