================ Training Loss (Tue Feb 24 15:37:24 2026) ================
[Rank 0] (epoch: 38, iters: 93, time: 0.371, data: 0.003) , G_GAN: 0.321, G_L1: 3.092, D_real: 0.258, D_fake: 0.171

[Rank 0] (epoch: 39, iters: 82, time: 0.370, data: 0.003) , G_GAN: 0.529, G_L1: 2.318, D_real: 0.199, D_fake: 0.391

[Rank 0] (epoch: 40, iters: 71, time: 1.160, data: 0.003) , G_GAN: 0.479, G_L1: 2.407, D_real: 0.112, D_fake: 0.400

[Rank 0] (epoch: 41, iters: 60, time: 0.372, data: 0.003) , G_GAN: 0.413, G_L1: 2.481, D_real: 0.272, D_fake: 0.183

[Rank 0] (epoch: 42, iters: 49, time: 0.370, data: 0.003) , G_GAN: 0.449, G_L1: 2.292, D_real: 0.211, D_fake: 0.222

[Rank 0] (epoch: 43, iters: 38, time: 0.370, data: 0.004) , G_GAN: 0.317, G_L1: 2.654, D_real: 0.250, D_fake: 0.176

[Rank 0] (epoch: 44, iters: 27, time: 1.192, data: 0.003) , G_GAN: 0.375, G_L1: 2.421, D_real: 0.169, D_fake: 0.305

[Rank 0] (epoch: 45, iters: 16, time: 0.371, data: 0.003) , G_GAN: 0.480, G_L1: 2.809, D_real: 0.239, D_fake: 0.223

[Rank 0] (epoch: 46, iters: 5, time: 0.396, data: 0.002) , G_GAN: 0.741, G_L1: 2.480, D_real: 0.150, D_fake: 0.555

[Rank 0] (epoch: 46, iters: 105, time: 0.383, data: 0.002) , G_GAN: 0.476, G_L1: 2.412, D_real: 0.195, D_fake: 0.196

[Rank 0] (epoch: 47, iters: 94, time: 1.181, data: 0.003) , G_GAN: 0.542, G_L1: 2.620, D_real: 0.138, D_fake: 0.246

[Rank 0] (epoch: 48, iters: 83, time: 0.370, data: 0.003) , G_GAN: 0.446, G_L1: 2.321, D_real: 0.123, D_fake: 0.225

[Rank 0] (epoch: 49, iters: 72, time: 0.377, data: 0.003) , G_GAN: 0.446, G_L1: 2.645, D_real: 0.303, D_fake: 0.212

[Rank 0] (epoch: 50, iters: 61, time: 0.418, data: 0.003) , G_GAN: 0.364, G_L1: 2.120, D_real: 0.366, D_fake: 0.400

[Rank 0] (epoch: 51, iters: 50, time: 1.102, data: 0.002) , G_GAN: 0.309, G_L1: 2.095, D_real: 0.359, D_fake: 0.156

[Rank 0] (epoch: 52, iters: 39, time: 0.384, data: 0.003) , G_GAN: 0.272, G_L1: 1.934, D_real: 0.205, D_fake: 0.296

[Rank 0] (epoch: 53, iters: 28, time: 0.370, data: 0.003) , G_GAN: 0.285, G_L1: 1.997, D_real: 0.392, D_fake: 0.109

[Rank 0] (epoch: 54, iters: 17, time: 0.371, data: 0.003) , G_GAN: 0.243, G_L1: 2.260, D_real: 0.426, D_fake: 0.194

[Rank 0] (epoch: 55, iters: 6, time: 1.128, data: 0.003) , G_GAN: 0.392, G_L1: 2.205, D_real: 0.120, D_fake: 0.349

[Rank 0] (epoch: 55, iters: 106, time: 0.370, data: 0.002) , G_GAN: 0.373, G_L1: 2.225, D_real: 0.304, D_fake: 0.323

[Rank 0] (epoch: 56, iters: 95, time: 0.370, data: 0.003) , G_GAN: 0.319, G_L1: 2.440, D_real: 0.298, D_fake: 0.123

[Rank 0] (epoch: 57, iters: 84, time: 0.371, data: 0.003) , G_GAN: 0.398, G_L1: 2.620, D_real: 0.187, D_fake: 0.198

[Rank 0] (epoch: 58, iters: 73, time: 1.165, data: 0.003) , G_GAN: 0.429, G_L1: 2.266, D_real: 0.199, D_fake: 0.228

[Rank 0] (epoch: 59, iters: 62, time: 0.379, data: 0.003) , G_GAN: 0.546, G_L1: 2.169, D_real: 0.047, D_fake: 0.491

[Rank 0] (epoch: 60, iters: 51, time: 0.370, data: 0.003) , G_GAN: 0.373, G_L1: 2.211, D_real: 0.201, D_fake: 0.274

[Rank 0] (epoch: 61, iters: 40, time: 0.371, data: 0.003) , G_GAN: 0.298, G_L1: 2.239, D_real: 0.345, D_fake: 0.131

