================ Training Loss (Sat Feb 28 12:32:14 2026) ================
[Rank 0] (epoch: 34, iters: 37, time: 0.602, data: 0.004) , G_GAN: 0.597, G_L1: 0.453, D_real: 0.092, D_fake: 0.111, G_FM: 18.368

[Rank 0] (epoch: 35, iters: 26, time: 0.602, data: 0.003) , G_GAN: 0.388, G_L1: 0.530, D_real: 0.073, D_fake: 0.058, G_FM: 16.528

[Rank 0] (epoch: 36, iters: 15, time: 0.602, data: 0.005) , G_GAN: 0.454, G_L1: 0.549, D_real: 0.222, D_fake: 0.025, G_FM: 19.714

[Rank 0] (epoch: 37, iters: 4, time: 1.290, data: 0.005) , G_GAN: 0.336, G_L1: 0.514, D_real: 0.234, D_fake: 0.057, G_FM: 19.984

[Rank 0] (epoch: 37, iters: 104, time: 0.599, data: 0.005) , G_GAN: 0.645, G_L1: 0.516, D_real: 0.119, D_fake: 0.035, G_FM: 18.499

[Rank 0] (epoch: 38, iters: 93, time: 0.602, data: 0.004) , G_GAN: 1.204, G_L1: 0.620, D_real: 0.042, D_fake: 0.051, G_FM: 17.785

[Rank 0] (epoch: 39, iters: 82, time: 0.602, data: 0.004) , G_GAN: 0.264, G_L1: 0.434, D_real: 0.329, D_fake: 0.028, G_FM: 17.710

[Rank 0] (epoch: 40, iters: 71, time: 1.325, data: 0.004) , G_GAN: 0.893, G_L1: 0.452, D_real: 0.086, D_fake: 0.055, G_FM: 19.097

[Rank 0] (epoch: 41, iters: 60, time: 0.602, data: 0.003) , G_GAN: 1.049, G_L1: 0.453, D_real: 0.022, D_fake: 0.062, G_FM: 18.444

[Rank 0] (epoch: 42, iters: 49, time: 0.602, data: 0.004) , G_GAN: 0.995, G_L1: 0.431, D_real: 0.030, D_fake: 0.028, G_FM: 19.620

[Rank 0] (epoch: 43, iters: 38, time: 0.602, data: 0.004) , G_GAN: 1.056, G_L1: 0.519, D_real: 0.055, D_fake: 0.095, G_FM: 16.465

[Rank 0] (epoch: 44, iters: 27, time: 1.278, data: 0.003) , G_GAN: 0.821, G_L1: 0.483, D_real: 0.062, D_fake: 0.067, G_FM: 18.023

[Rank 0] (epoch: 45, iters: 16, time: 0.603, data: 0.003) , G_GAN: 0.767, G_L1: 0.590, D_real: 0.066, D_fake: 0.082, G_FM: 15.948

[Rank 0] (epoch: 46, iters: 5, time: 0.607, data: 0.004) , G_GAN: 0.914, G_L1: 0.496, D_real: 0.042, D_fake: 0.237, G_FM: 16.422

[Rank 0] (epoch: 46, iters: 105, time: 0.600, data: 0.002) , G_GAN: 1.013, G_L1: 0.587, D_real: 0.047, D_fake: 0.086, G_FM: 14.751

[Rank 0] (epoch: 47, iters: 94, time: 1.326, data: 0.004) , G_GAN: 0.782, G_L1: 0.471, D_real: 0.043, D_fake: 0.020, G_FM: 18.332

[Rank 0] (epoch: 48, iters: 83, time: 0.602, data: 0.004) , G_GAN: 1.025, G_L1: 0.439, D_real: 0.034, D_fake: 0.033, G_FM: 18.173

[Rank 0] (epoch: 49, iters: 72, time: 0.602, data: 0.004) , G_GAN: 0.796, G_L1: 0.488, D_real: 0.025, D_fake: 0.054, G_FM: 17.024

[Rank 0] (epoch: 50, iters: 61, time: 0.603, data: 0.003) , G_GAN: 0.715, G_L1: 0.483, D_real: 0.104, D_fake: 0.074, G_FM: 17.222

[Rank 0] (epoch: 51, iters: 50, time: 1.308, data: 0.004) , G_GAN: 0.746, G_L1: 0.438, D_real: 0.031, D_fake: 0.128, G_FM: 18.060

[Rank 0] (epoch: 52, iters: 39, time: 0.602, data: 0.004) , G_GAN: 0.858, G_L1: 0.525, D_real: 0.041, D_fake: 0.061, G_FM: 16.715

[Rank 0] (epoch: 53, iters: 28, time: 0.602, data: 0.004) , G_GAN: 1.053, G_L1: 0.437, D_real: 0.044, D_fake: 0.076, G_FM: 18.482

[Rank 0] (epoch: 54, iters: 17, time: 0.602, data: 0.003) , G_GAN: 0.770, G_L1: 0.437, D_real: 0.050, D_fake: 0.147, G_FM: 18.433

[Rank 0] (epoch: 55, iters: 6, time: 1.275, data: 0.005) , G_GAN: 0.369, G_L1: 0.420, D_real: 0.544, D_fake: 0.015, G_FM: 18.161

[Rank 0] (epoch: 55, iters: 106, time: 0.600, data: 0.003) , G_GAN: 0.264, G_L1: 0.449, D_real: 0.252, D_fake: 0.256, G_FM: 8.999

[Rank 0] (epoch: 56, iters: 95, time: 0.602, data: 0.004) , G_GAN: 0.270, G_L1: 0.443, D_real: 0.250, D_fake: 0.252, G_FM: 8.342

[Rank 0] (epoch: 57, iters: 84, time: 0.602, data: 0.004) , G_GAN: 0.253, G_L1: 0.375, D_real: 0.244, D_fake: 0.257, G_FM: 8.724

[Rank 0] (epoch: 58, iters: 73, time: 1.398, data: 0.004) , G_GAN: 0.260, G_L1: 0.487, D_real: 0.271, D_fake: 0.233, G_FM: 7.443

[Rank 0] (epoch: 59, iters: 62, time: 0.602, data: 0.004) , G_GAN: 0.259, G_L1: 0.407, D_real: 0.251, D_fake: 0.247, G_FM: 9.790

[Rank 0] (epoch: 60, iters: 51, time: 0.602, data: 0.004) , G_GAN: 0.258, G_L1: 0.389, D_real: 0.276, D_fake: 0.227, G_FM: 7.815

[Rank 0] (epoch: 61, iters: 40, time: 0.602, data: 0.004) , G_GAN: 0.257, G_L1: 0.407, D_real: 0.237, D_fake: 0.261, G_FM: 8.060

[Rank 0] (epoch: 62, iters: 29, time: 1.392, data: 0.004) , G_GAN: 0.273, G_L1: 0.407, D_real: 0.249, D_fake: 0.227, G_FM: 9.282

[Rank 0] (epoch: 63, iters: 18, time: 0.602, data: 0.004) , G_GAN: 0.274, G_L1: 0.463, D_real: 0.211, D_fake: 0.230, G_FM: 9.830

