================ Training Loss (Mon Mar  2 12:18:34 2026) ================
[Rank 0] (epoch: 27, iters: 60, time: 0.591, data: 0.004) , G_GAN: 0.347, G_L1: 0.849, D_real: 0.122, D_fake: 0.270, G_FM: 13.698

[Rank 0] (epoch: 28, iters: 20, time: 0.591, data: 0.004) , G_GAN: 0.427, G_L1: 0.753, D_real: 0.173, D_fake: 0.420, G_FM: 11.153

[Rank 0] (epoch: 28, iters: 120, time: 0.591, data: 0.005) , G_GAN: 0.552, G_L1: 0.748, D_real: 0.297, D_fake: 0.058, G_FM: 9.948

[Rank 0] (epoch: 29, iters: 80, time: 1.306, data: 0.004) , G_GAN: 0.452, G_L1: 0.642, D_real: 0.170, D_fake: 0.139, G_FM: 11.716

[Rank 0] (epoch: 30, iters: 40, time: 0.591, data: 0.004) , G_GAN: 0.429, G_L1: 0.681, D_real: 0.168, D_fake: 0.179, G_FM: 10.558

[Rank 0] (epoch: 30, iters: 140, time: 0.589, data: 0.005) , G_GAN: 0.509, G_L1: 0.756, D_real: 0.061, D_fake: 0.137, G_FM: 13.972

[Rank 0] (epoch: 31, iters: 100, time: 0.591, data: 0.228) , G_GAN: 0.516, G_L1: 0.637, D_real: 0.267, D_fake: 0.105, G_FM: 10.665

[Rank 0] (epoch: 32, iters: 60, time: 1.295, data: 0.004) , G_GAN: 0.391, G_L1: 0.623, D_real: 0.329, D_fake: 0.188, G_FM: 9.970

[Rank 0] (epoch: 33, iters: 20, time: 0.593, data: 0.004) , G_GAN: 0.476, G_L1: 0.656, D_real: 0.348, D_fake: 0.141, G_FM: 10.734

[Rank 0] (epoch: 33, iters: 120, time: 0.591, data: 0.005) , G_GAN: 0.386, G_L1: 0.673, D_real: 0.192, D_fake: 0.185, G_FM: 11.335

[Rank 0] (epoch: 34, iters: 80, time: 0.591, data: 0.004) , G_GAN: 0.389, G_L1: 0.539, D_real: 0.107, D_fake: 0.229, G_FM: 10.306

[Rank 0] (epoch: 35, iters: 40, time: 1.303, data: 0.004) , G_GAN: 0.591, G_L1: 0.599, D_real: 0.348, D_fake: 0.099, G_FM: 9.621

[Rank 0] (epoch: 35, iters: 140, time: 0.589, data: 0.004) , G_GAN: 0.666, G_L1: 0.656, D_real: 0.215, D_fake: 0.055, G_FM: 11.277

[Rank 0] (epoch: 36, iters: 100, time: 0.592, data: 0.219) , G_GAN: 0.544, G_L1: 0.655, D_real: 0.256, D_fake: 0.086, G_FM: 11.134

