================ Training Loss (Thu Mar  5 14:56:09 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.353, data: 0.226) , G_GAN: 0.787, G_L1: 0.544, G_delta_bg: 0.274, G_delta: 26.153, G_grad: 0.467, G_delta_grad: 0.389, G_lap: 0.818, G_ssim: 1.038, G_stats: 0.056, D_real: 0.096, D_fake: 0.100

[Rank 0] (epoch: 1, iters: 200, time: 0.354, data: 0.004) , G_GAN: 0.989, G_L1: 0.478, G_delta_bg: 0.260, G_delta: 24.391, G_grad: 0.431, G_delta_grad: 0.393, G_lap: 0.745, G_ssim: 0.966, G_stats: 0.040, D_real: 0.042, D_fake: 0.046

[Rank 0] (epoch: 2, iters: 60, time: 0.368, data: 0.003) , G_GAN: 0.931, G_L1: 0.730, G_delta_bg: 0.228, G_delta: 11.046, G_grad: 0.472, G_delta_grad: 0.499, G_lap: 0.795, G_ssim: 1.099, G_stats: 0.173, D_real: 0.075, D_fake: 0.058

[Rank 0] (epoch: 2, iters: 160, time: 1.006, data: 0.004) , G_GAN: 1.098, G_L1: 0.505, G_delta_bg: 0.254, G_delta: 23.727, G_grad: 0.390, G_delta_grad: 0.385, G_lap: 0.674, G_ssim: 0.939, G_stats: 0.089, D_real: 0.039, D_fake: 0.046

[Rank 0] (epoch: 3, iters: 20, time: 0.357, data: 0.004) , G_GAN: 0.974, G_L1: 0.524, G_delta_bg: 0.253, G_delta: 22.099, G_grad: 0.345, G_delta_grad: 0.314, G_lap: 0.718, G_ssim: 0.858, G_stats: 0.119, D_real: 0.015, D_fake: 0.013

[Rank 0] (epoch: 3, iters: 120, time: 0.353, data: 0.004) , G_GAN: 0.948, G_L1: 1.077, G_delta_bg: 0.223, G_delta: 15.857, G_grad: 0.429, G_delta_grad: 0.385, G_lap: 0.901, G_ssim: 1.100, G_stats: 0.236, D_real: 0.016, D_fake: 0.022

[Rank 0] (epoch: 3, iters: 220, time: 0.354, data: 0.004) , G_GAN: 0.979, G_L1: 1.127, G_delta_bg: 0.220, G_delta: 16.682, G_grad: 0.420, G_delta_grad: 0.386, G_lap: 0.626, G_ssim: 1.082, G_stats: 0.288, D_real: 0.014, D_fake: 0.010

[Rank 0] (epoch: 4, iters: 80, time: 0.994, data: 0.004) , G_GAN: 0.990, G_L1: 0.434, G_delta_bg: 0.252, G_delta: 21.649, G_grad: 0.346, G_delta_grad: 0.332, G_lap: 0.681, G_ssim: 0.879, G_stats: 0.016, D_real: 0.035, D_fake: 0.033

[Rank 0] (epoch: 4, iters: 180, time: 0.363, data: 0.004) , G_GAN: 0.897, G_L1: 0.684, G_delta_bg: 0.220, G_delta: 10.345, G_grad: 0.450, G_delta_grad: 0.472, G_lap: 0.732, G_ssim: 1.031, G_stats: 0.174, D_real: 0.067, D_fake: 0.066

[Rank 0] (epoch: 5, iters: 40, time: 0.356, data: 0.005) , G_GAN: 1.029, G_L1: 0.767, G_delta_bg: 0.225, G_delta: 11.680, G_grad: 0.436, G_delta_grad: 0.479, G_lap: 0.656, G_ssim: 1.068, G_stats: 0.092, D_real: 0.011, D_fake: 0.006

[Rank 0] (epoch: 5, iters: 140, time: 0.358, data: 0.004) , G_GAN: 0.976, G_L1: 0.505, G_delta_bg: 0.252, G_delta: 22.647, G_grad: 0.393, G_delta_grad: 0.321, G_lap: 0.780, G_ssim: 0.927, G_stats: 0.034, D_real: 0.008, D_fake: 0.006

[Rank 0] (epoch: 5, iters: 240, time: 0.978, data: 0.006) , G_GAN: 1.009, G_L1: 0.524, G_delta_bg: 0.252, G_delta: 21.838, G_grad: 0.354, G_delta_grad: 0.339, G_lap: 0.674, G_ssim: 0.880, G_stats: 0.066, D_real: 0.006, D_fake: 0.005

[Rank 0] (epoch: 6, iters: 100, time: 0.358, data: 0.252) , G_GAN: 1.012, G_L1: 0.691, G_delta_bg: 0.229, G_delta: 12.084, G_grad: 0.444, G_delta_grad: 0.504, G_lap: 0.604, G_ssim: 1.083, G_stats: 0.100, D_real: 0.008, D_fake: 0.005

[Rank 0] (epoch: 6, iters: 200, time: 0.356, data: 0.005) , G_GAN: 1.036, G_L1: 0.643, G_delta_bg: 0.223, G_delta: 9.809, G_grad: 0.487, G_delta_grad: 0.525, G_lap: 0.722, G_ssim: 1.113, G_stats: 0.147, D_real: 0.023, D_fake: 0.020

[Rank 0] (epoch: 7, iters: 60, time: 0.352, data: 0.004) , G_GAN: 0.992, G_L1: 0.825, G_delta_bg: 0.226, G_delta: 13.359, G_grad: 0.434, G_delta_grad: 0.527, G_lap: 0.711, G_ssim: 1.072, G_stats: 0.203, D_real: 0.007, D_fake: 0.007

[Rank 0] (epoch: 7, iters: 160, time: 1.120, data: 0.004) , G_GAN: 1.049, G_L1: 0.483, G_delta_bg: 0.251, G_delta: 21.201, G_grad: 0.437, G_delta_grad: 0.418, G_lap: 0.735, G_ssim: 0.873, G_stats: 0.064, D_real: 0.006, D_fake: 0.007

[Rank 0] (epoch: 8, iters: 20, time: 0.354, data: 0.004) , G_GAN: 0.970, G_L1: 0.763, G_delta_bg: 0.224, G_delta: 11.806, G_grad: 0.463, G_delta_grad: 0.516, G_lap: 0.636, G_ssim: 1.038, G_stats: 0.133, D_real: 0.005, D_fake: 0.007

[Rank 0] (epoch: 8, iters: 120, time: 0.359, data: 0.004) , G_GAN: 1.004, G_L1: 0.466, G_delta_bg: 0.251, G_delta: 20.133, G_grad: 0.361, G_delta_grad: 0.363, G_lap: 0.644, G_ssim: 0.854, G_stats: 0.016, D_real: 0.006, D_fake: 0.004

[Rank 0] (epoch: 8, iters: 220, time: 0.351, data: 0.005) , G_GAN: 0.989, G_L1: 0.466, G_delta_bg: 0.251, G_delta: 20.975, G_grad: 0.447, G_delta_grad: 0.408, G_lap: 0.735, G_ssim: 0.873, G_stats: 0.028, D_real: 0.005, D_fake: 0.007

[Rank 0] (epoch: 9, iters: 80, time: 1.013, data: 0.004) , G_GAN: 1.029, G_L1: 0.485, G_delta_bg: 0.252, G_delta: 23.346, G_grad: 0.386, G_delta_grad: 0.353, G_lap: 0.693, G_ssim: 0.932, G_stats: 0.054, D_real: 0.007, D_fake: 0.003

[Rank 0] (epoch: 9, iters: 180, time: 0.353, data: 0.004) , G_GAN: 0.975, G_L1: 0.541, G_delta_bg: 0.252, G_delta: 23.359, G_grad: 0.509, G_delta_grad: 0.347, G_lap: 0.911, G_ssim: 1.079, G_stats: 0.039, D_real: 0.009, D_fake: 0.005

