================ Training Loss (Thu Feb 26 09:11:10 2026) ================
[Rank 0] (epoch: 38, iters: 93, time: 0.441, data: 0.004) , G_GAN: 0.995, G_L1: 2.468, D_real: 0.035, D_fake: 0.026

[Rank 0] (epoch: 39, iters: 82, time: 0.430, data: 0.004) , G_GAN: 0.771, G_L1: 3.185, D_real: 0.119, D_fake: 0.111

[Rank 0] (epoch: 40, iters: 71, time: 1.266, data: 0.004) , G_GAN: 0.959, G_L1: 2.409, D_real: 0.011, D_fake: 0.006

[Rank 0] (epoch: 41, iters: 60, time: 0.431, data: 0.004) , G_GAN: 1.042, G_L1: 2.665, D_real: 0.021, D_fake: 0.038

[Rank 0] (epoch: 42, iters: 49, time: 0.434, data: 0.003) , G_GAN: 1.071, G_L1: 2.967, D_real: 0.025, D_fake: 0.020

[Rank 0] (epoch: 43, iters: 38, time: 0.436, data: 0.004) , G_GAN: 0.933, G_L1: 2.984, D_real: 0.004, D_fake: 0.010

[Rank 0] (epoch: 44, iters: 27, time: 1.238, data: 0.004) , G_GAN: 0.933, G_L1: 2.433, D_real: 0.008, D_fake: 0.010

[Rank 0] (epoch: 45, iters: 16, time: 0.435, data: 0.004) , G_GAN: 1.024, G_L1: 2.486, D_real: 0.003, D_fake: 0.003

[Rank 0] (epoch: 46, iters: 5, time: 0.446, data: 0.004) , G_GAN: 0.423, G_L1: 2.194, D_real: 0.584, D_fake: 0.182

[Rank 0] (epoch: 46, iters: 105, time: 0.431, data: 0.003) , G_GAN: 0.988, G_L1: 3.227, D_real: 0.020, D_fake: 0.008

[Rank 0] (epoch: 47, iters: 94, time: 1.243, data: 0.004) , G_GAN: 0.988, G_L1: 2.397, D_real: 0.011, D_fake: 0.009

[Rank 0] (epoch: 48, iters: 83, time: 0.440, data: 0.004) , G_GAN: 0.983, G_L1: 3.103, D_real: 0.005, D_fake: 0.004

[Rank 0] (epoch: 49, iters: 72, time: 0.465, data: 0.004) , G_GAN: 1.185, G_L1: 2.218, D_real: 0.010, D_fake: 0.012

[Rank 0] (epoch: 50, iters: 61, time: 0.452, data: 0.004) , G_GAN: 0.998, G_L1: 3.075, D_real: 0.005, D_fake: 0.005

[Rank 0] (epoch: 51, iters: 50, time: 1.248, data: 0.004) , G_GAN: 0.960, G_L1: 2.459, D_real: 0.003, D_fake: 0.003

[Rank 0] (epoch: 52, iters: 39, time: 0.452, data: 0.004) , G_GAN: 1.010, G_L1: 2.310, D_real: 0.092, D_fake: 0.143

[Rank 0] (epoch: 53, iters: 28, time: 0.431, data: 0.005) , G_GAN: 1.138, G_L1: 2.339, D_real: 0.024, D_fake: 0.025

[Rank 0] (epoch: 54, iters: 17, time: 0.461, data: 0.004) , G_GAN: 0.946, G_L1: 2.880, D_real: 0.009, D_fake: 0.016

[Rank 0] (epoch: 55, iters: 6, time: 1.314, data: 0.003) , G_GAN: 0.974, G_L1: 2.187, D_real: 0.004, D_fake: 0.003

[Rank 0] (epoch: 55, iters: 106, time: 0.453, data: 0.004) , G_GAN: 0.999, G_L1: 2.968, D_real: 0.015, D_fake: 0.010

[Rank 0] (epoch: 56, iters: 95, time: 0.432, data: 0.004) , G_GAN: 1.002, G_L1: 2.895, D_real: 0.003, D_fake: 0.003

[Rank 0] (epoch: 57, iters: 84, time: 0.432, data: 0.004) , G_GAN: 0.928, G_L1: 2.796, D_real: 0.048, D_fake: 0.044

[Rank 0] (epoch: 58, iters: 73, time: 1.226, data: 0.004) , G_GAN: 0.986, G_L1: 2.122, D_real: 0.029, D_fake: 0.035

[Rank 0] (epoch: 59, iters: 62, time: 0.442, data: 0.004) , G_GAN: 0.433, G_L1: 2.876, D_real: 0.200, D_fake: 0.242

[Rank 0] (epoch: 60, iters: 51, time: 0.430, data: 0.004) , G_GAN: 1.137, G_L1: 2.568, D_real: 0.019, D_fake: 0.023

[Rank 0] (epoch: 61, iters: 40, time: 0.431, data: 0.004) , G_GAN: 0.720, G_L1: 1.977, D_real: 0.127, D_fake: 0.050

[Rank 0] (epoch: 62, iters: 29, time: 1.223, data: 0.004) , G_GAN: 0.892, G_L1: 2.966, D_real: 0.018, D_fake: 0.039

[Rank 0] (epoch: 63, iters: 18, time: 0.433, data: 0.004) , G_GAN: 0.902, G_L1: 2.000, D_real: 0.027, D_fake: 0.009

[Rank 0] (epoch: 64, iters: 7, time: 0.437, data: 0.003) , G_GAN: 1.026, G_L1: 2.177, D_real: 0.008, D_fake: 0.004

[Rank 0] (epoch: 64, iters: 107, time: 0.432, data: 0.002) , G_GAN: 1.044, G_L1: 2.471, D_real: 0.005, D_fake: 0.011

[Rank 0] (epoch: 65, iters: 96, time: 1.241, data: 0.004) , G_GAN: 1.146, G_L1: 2.048, D_real: 0.023, D_fake: 0.070

[Rank 0] (epoch: 66, iters: 85, time: 0.444, data: 0.006) , G_GAN: 0.903, G_L1: 1.994, D_real: 0.028, D_fake: 0.009

[Rank 0] (epoch: 67, iters: 74, time: 0.435, data: 0.004) , G_GAN: 0.933, G_L1: 1.935, D_real: 0.029, D_fake: 0.040

