================ Training Loss (Fri Feb 27 14:48:04 2026) ================
[Rank 0] (epoch: 34, iters: 37, time: 0.603, data: 0.004) , G_GAN: 0.324, G_L1: 0.541, D_real: 0.166, D_fake: 0.256, G_FM: 5.271

[Rank 0] (epoch: 35, iters: 26, time: 0.663, data: 0.004) , G_GAN: 0.346, G_L1: 0.432, D_real: 0.164, D_fake: 0.222, G_FM: 5.181

[Rank 0] (epoch: 36, iters: 15, time: 0.600, data: 0.006) , G_GAN: 0.403, G_L1: 0.460, D_real: 0.177, D_fake: 0.246, G_FM: 5.168

[Rank 0] (epoch: 37, iters: 4, time: 1.417, data: 0.004) , G_GAN: 0.451, G_L1: 0.407, D_real: 0.183, D_fake: 0.142, G_FM: 5.396

[Rank 0] (epoch: 37, iters: 104, time: 0.602, data: 0.004) , G_GAN: 0.410, G_L1: 0.391, D_real: 0.236, D_fake: 0.157, G_FM: 4.573

[Rank 0] (epoch: 38, iters: 93, time: 0.598, data: 0.004) , G_GAN: 0.379, G_L1: 0.487, D_real: 0.172, D_fake: 0.240, G_FM: 4.699

[Rank 0] (epoch: 39, iters: 82, time: 0.625, data: 0.004) , G_GAN: 0.385, G_L1: 0.442, D_real: 0.166, D_fake: 0.217, G_FM: 4.823

[Rank 0] (epoch: 40, iters: 71, time: 1.350, data: 0.004) , G_GAN: 0.420, G_L1: 0.379, D_real: 0.157, D_fake: 0.153, G_FM: 5.270

[Rank 0] (epoch: 41, iters: 60, time: 0.612, data: 0.004) , G_GAN: 0.412, G_L1: 0.410, D_real: 0.188, D_fake: 0.153, G_FM: 5.210

[Rank 0] (epoch: 42, iters: 49, time: 0.644, data: 0.004) , G_GAN: 0.410, G_L1: 0.433, D_real: 0.206, D_fake: 0.153, G_FM: 5.044

[Rank 0] (epoch: 43, iters: 38, time: 0.598, data: 0.004) , G_GAN: 0.353, G_L1: 0.474, D_real: 0.184, D_fake: 0.223, G_FM: 4.860

[Rank 0] (epoch: 44, iters: 27, time: 1.367, data: 0.004) , G_GAN: 0.430, G_L1: 0.379, D_real: 0.162, D_fake: 0.167, G_FM: 5.224

[Rank 0] (epoch: 45, iters: 16, time: 0.598, data: 0.004) , G_GAN: 0.472, G_L1: 0.412, D_real: 0.242, D_fake: 0.123, G_FM: 5.202

[Rank 0] (epoch: 46, iters: 5, time: 0.639, data: 0.006) , G_GAN: 0.446, G_L1: 0.381, D_real: 0.189, D_fake: 0.189, G_FM: 4.692

[Rank 0] (epoch: 46, iters: 105, time: 0.619, data: 0.004) , G_GAN: 0.376, G_L1: 0.471, D_real: 0.165, D_fake: 0.221, G_FM: 5.038

[Rank 0] (epoch: 47, iters: 94, time: 1.376, data: 0.004) , G_GAN: 0.429, G_L1: 0.420, D_real: 0.192, D_fake: 0.145, G_FM: 5.358

[Rank 0] (epoch: 48, iters: 83, time: 0.599, data: 0.004) , G_GAN: 0.370, G_L1: 0.410, D_real: 0.207, D_fake: 0.208, G_FM: 4.845

[Rank 0] (epoch: 49, iters: 72, time: 0.601, data: 0.004) , G_GAN: 0.419, G_L1: 0.465, D_real: 0.204, D_fake: 0.211, G_FM: 6.272

[Rank 0] (epoch: 50, iters: 61, time: 0.599, data: 0.004) , G_GAN: 0.468, G_L1: 0.482, D_real: 0.202, D_fake: 0.139, G_FM: 5.081

[Rank 0] (epoch: 51, iters: 50, time: 1.353, data: 0.004) , G_GAN: 0.396, G_L1: 0.405, D_real: 0.171, D_fake: 0.211, G_FM: 5.359

[Rank 0] (epoch: 52, iters: 39, time: 0.599, data: 0.004) , G_GAN: 0.425, G_L1: 0.501, D_real: 0.168, D_fake: 0.186, G_FM: 5.164

[Rank 0] (epoch: 53, iters: 28, time: 0.614, data: 0.006) , G_GAN: 0.441, G_L1: 0.383, D_real: 0.157, D_fake: 0.194, G_FM: 5.046

[Rank 0] (epoch: 54, iters: 17, time: 0.614, data: 0.004) , G_GAN: 0.449, G_L1: 0.441, D_real: 0.186, D_fake: 0.143, G_FM: 4.861

[Rank 0] (epoch: 55, iters: 6, time: 1.386, data: 0.004) , G_GAN: 0.400, G_L1: 0.373, D_real: 0.174, D_fake: 0.168, G_FM: 5.397

[Rank 0] (epoch: 55, iters: 106, time: 0.596, data: 0.003) , G_GAN: 0.400, G_L1: 0.381, D_real: 0.190, D_fake: 0.167, G_FM: 5.423

[Rank 0] (epoch: 56, iters: 95, time: 0.599, data: 0.004) , G_GAN: 0.440, G_L1: 0.442, D_real: 0.218, D_fake: 0.150, G_FM: 4.922

[Rank 0] (epoch: 57, iters: 84, time: 0.598, data: 0.004) , G_GAN: 0.446, G_L1: 0.466, D_real: 0.166, D_fake: 0.196, G_FM: 5.129

[Rank 0] (epoch: 58, iters: 73, time: 1.349, data: 0.005) , G_GAN: 0.382, G_L1: 0.415, D_real: 0.191, D_fake: 0.195, G_FM: 5.397

[Rank 0] (epoch: 59, iters: 62, time: 0.608, data: 0.004) , G_GAN: 0.377, G_L1: 0.358, D_real: 0.168, D_fake: 0.194, G_FM: 4.875

[Rank 0] (epoch: 60, iters: 51, time: 0.606, data: 0.004) , G_GAN: 0.394, G_L1: 0.443, D_real: 0.193, D_fake: 0.195, G_FM: 5.190

[Rank 0] (epoch: 61, iters: 40, time: 0.598, data: 0.005) , G_GAN: 0.303, G_L1: 0.391, D_real: 0.164, D_fake: 0.283, G_FM: 5.413

[Rank 0] (epoch: 62, iters: 29, time: 1.434, data: 0.004) , G_GAN: 0.521, G_L1: 0.401, D_real: 0.203, D_fake: 0.125, G_FM: 5.146

[Rank 0] (epoch: 63, iters: 18, time: 0.599, data: 0.005) , G_GAN: 0.402, G_L1: 0.358, D_real: 0.163, D_fake: 0.173, G_FM: 5.310

[Rank 0] (epoch: 64, iters: 7, time: 0.600, data: 0.004) , G_GAN: 0.428, G_L1: 0.376, D_real: 0.159, D_fake: 0.154, G_FM: 5.292

[Rank 0] (epoch: 64, iters: 107, time: 0.636, data: 0.004) , G_GAN: 0.297, G_L1: 0.347, D_real: 0.140, D_fake: 0.296, G_FM: 5.379

[Rank 0] (epoch: 65, iters: 96, time: 1.325, data: 0.004) , G_GAN: 0.341, G_L1: 0.378, D_real: 0.181, D_fake: 0.227, G_FM: 5.267

[Rank 0] (epoch: 66, iters: 85, time: 0.597, data: 0.004) , G_GAN: 0.422, G_L1: 0.349, D_real: 0.164, D_fake: 0.157, G_FM: 5.475

[Rank 0] (epoch: 67, iters: 74, time: 0.638, data: 0.004) , G_GAN: 0.369, G_L1: 0.345, D_real: 0.171, D_fake: 0.200, G_FM: 5.325

[Rank 0] (epoch: 68, iters: 63, time: 0.598, data: 0.004) , G_GAN: 0.410, G_L1: 0.359, D_real: 0.149, D_fake: 0.192, G_FM: 5.216

[Rank 0] (epoch: 69, iters: 52, time: 1.365, data: 0.004) , G_GAN: 0.358, G_L1: 0.343, D_real: 0.133, D_fake: 0.218, G_FM: 5.440

[Rank 0] (epoch: 70, iters: 41, time: 0.598, data: 0.004) , G_GAN: 0.326, G_L1: 0.391, D_real: 0.210, D_fake: 0.273, G_FM: 5.655

[Rank 0] (epoch: 71, iters: 30, time: 0.600, data: 0.004) , G_GAN: 0.334, G_L1: 0.364, D_real: 0.154, D_fake: 0.264, G_FM: 5.607

[Rank 0] (epoch: 72, iters: 19, time: 0.642, data: 0.004) , G_GAN: 0.414, G_L1: 0.416, D_real: 0.228, D_fake: 0.156, G_FM: 4.909

[Rank 0] (epoch: 73, iters: 8, time: 1.356, data: 0.004) , G_GAN: 0.365, G_L1: 0.384, D_real: 0.174, D_fake: 0.223, G_FM: 5.572

[Rank 0] (epoch: 73, iters: 108, time: 0.597, data: 0.004) , G_GAN: 0.438, G_L1: 0.433, D_real: 0.161, D_fake: 0.157, G_FM: 5.083

[Rank 0] (epoch: 74, iters: 97, time: 0.600, data: 0.004) , G_GAN: 0.324, G_L1: 0.432, D_real: 0.180, D_fake: 0.270, G_FM: 5.283

[Rank 0] (epoch: 75, iters: 86, time: 0.602, data: 0.003) , G_GAN: 0.362, G_L1: 0.445, D_real: 0.167, D_fake: 0.207, G_FM: 5.153

[Rank 0] (epoch: 76, iters: 75, time: 1.511, data: 0.004) , G_GAN: 0.410, G_L1: 0.378, D_real: 0.190, D_fake: 0.138, G_FM: 4.950

[Rank 0] (epoch: 77, iters: 64, time: 0.599, data: 0.005) , G_GAN: 0.330, G_L1: 0.339, D_real: 0.202, D_fake: 0.221, G_FM: 5.495

[Rank 0] (epoch: 78, iters: 53, time: 0.618, data: 0.004) , G_GAN: 0.360, G_L1: 0.362, D_real: 0.138, D_fake: 0.208, G_FM: 5.882

[Rank 0] (epoch: 79, iters: 42, time: 0.620, data: 0.004) , G_GAN: 0.368, G_L1: 0.331, D_real: 0.193, D_fake: 0.255, G_FM: 5.448

[Rank 0] (epoch: 80, iters: 31, time: 1.500, data: 0.004) , G_GAN: 0.382, G_L1: 0.330, D_real: 0.154, D_fake: 0.189, G_FM: 5.475

[Rank 0] (epoch: 81, iters: 20, time: 0.611, data: 0.004) , G_GAN: 0.424, G_L1: 0.411, D_real: 0.196, D_fake: 0.151, G_FM: 5.115

[Rank 0] (epoch: 82, iters: 9, time: 0.597, data: 0.004) , G_GAN: 0.427, G_L1: 0.417, D_real: 0.224, D_fake: 0.140, G_FM: 5.145

[Rank 0] (epoch: 82, iters: 109, time: 0.597, data: 0.003) , G_GAN: 0.422, G_L1: 0.329, D_real: 0.227, D_fake: 0.133, G_FM: 5.166

[Rank 0] (epoch: 83, iters: 98, time: 1.372, data: 0.004) , G_GAN: 0.377, G_L1: 0.396, D_real: 0.153, D_fake: 0.209, G_FM: 5.574

[Rank 0] (epoch: 84, iters: 87, time: 0.629, data: 0.004) , G_GAN: 0.401, G_L1: 0.344, D_real: 0.189, D_fake: 0.160, G_FM: 5.509

[Rank 0] (epoch: 85, iters: 76, time: 0.598, data: 0.005) , G_GAN: 0.351, G_L1: 0.331, D_real: 0.143, D_fake: 0.230, G_FM: 5.348

[Rank 0] (epoch: 86, iters: 65, time: 0.599, data: 0.004) , G_GAN: 0.337, G_L1: 0.338, D_real: 0.165, D_fake: 0.240, G_FM: 5.521

[Rank 0] (epoch: 87, iters: 54, time: 1.391, data: 0.004) , G_GAN: 0.447, G_L1: 0.412, D_real: 0.230, D_fake: 0.143, G_FM: 5.091

[Rank 0] (epoch: 88, iters: 43, time: 0.644, data: 0.004) , G_GAN: 0.396, G_L1: 0.315, D_real: 0.166, D_fake: 0.174, G_FM: 5.349

[Rank 0] (epoch: 89, iters: 32, time: 0.598, data: 0.005) , G_GAN: 0.362, G_L1: 0.419, D_real: 0.226, D_fake: 0.202, G_FM: 4.949

[Rank 0] (epoch: 90, iters: 21, time: 0.605, data: 0.004) , G_GAN: 0.409, G_L1: 0.444, D_real: 0.222, D_fake: 0.159, G_FM: 5.373

[Rank 0] (epoch: 91, iters: 10, time: 2.033, data: 0.004) , G_GAN: 0.357, G_L1: 0.368, D_real: 0.199, D_fake: 0.193, G_FM: 5.427

[Rank 0] (epoch: 91, iters: 110, time: 0.601, data: 0.003) , G_GAN: 0.357, G_L1: 0.343, D_real: 0.211, D_fake: 0.199, G_FM: 5.420

[Rank 0] (epoch: 92, iters: 99, time: 0.610, data: 0.004) , G_GAN: 0.362, G_L1: 0.352, D_real: 0.150, D_fake: 0.210, G_FM: 5.686

[Rank 0] (epoch: 93, iters: 88, time: 0.630, data: 0.004) , G_GAN: 0.361, G_L1: 0.343, D_real: 0.199, D_fake: 0.183, G_FM: 5.474

[Rank 0] (epoch: 94, iters: 77, time: 1.406, data: 0.004) , G_GAN: 0.363, G_L1: 0.325, D_real: 0.174, D_fake: 0.193, G_FM: 5.692

[Rank 0] (epoch: 95, iters: 66, time: 0.597, data: 0.004) , G_GAN: 0.344, G_L1: 0.413, D_real: 0.212, D_fake: 0.204, G_FM: 5.036

[Rank 0] (epoch: 96, iters: 55, time: 0.625, data: 0.004) , G_GAN: 0.339, G_L1: 0.339, D_real: 0.189, D_fake: 0.191, G_FM: 5.337

[Rank 0] (epoch: 97, iters: 44, time: 0.600, data: 0.006) , G_GAN: 0.374, G_L1: 0.407, D_real: 0.209, D_fake: 0.159, G_FM: 5.234

[Rank 0] (epoch: 98, iters: 33, time: 1.591, data: 0.004) , G_GAN: 0.401, G_L1: 0.316, D_real: 0.197, D_fake: 0.192, G_FM: 5.408

[Rank 0] (epoch: 99, iters: 22, time: 1.112, data: 0.004) , G_GAN: 0.351, G_L1: 0.333, D_real: 0.227, D_fake: 0.233, G_FM: 5.417

[Rank 0] (epoch: 100, iters: 11, time: 0.638, data: 0.003) , G_GAN: 0.358, G_L1: 0.319, D_real: 0.169, D_fake: 0.211, G_FM: 5.643

[Rank 0] (epoch: 100, iters: 111, time: 0.614, data: 0.004) , G_GAN: 0.372, G_L1: 0.416, D_real: 0.133, D_fake: 0.239, G_FM: 5.196

[Rank 0] (epoch: 101, iters: 100, time: 1.413, data: 0.209) , G_GAN: 0.416, G_L1: 0.353, D_real: 0.269, D_fake: 0.158, G_FM: 5.385

[Rank 0] (epoch: 102, iters: 89, time: 0.599, data: 0.004) , G_GAN: 0.377, G_L1: 0.327, D_real: 0.217, D_fake: 0.189, G_FM: 5.340

[Rank 0] (epoch: 103, iters: 78, time: 0.617, data: 0.004) , G_GAN: 0.354, G_L1: 0.330, D_real: 0.213, D_fake: 0.200, G_FM: 5.433

