================ Training Loss (Fri Mar 13 08:43:28 2026) ================
[Rank 0] (epoch: 15, iters: 20, time: 0.144, data: 0.220) , G_GAN: 0.000, G_L1: 0.913, G_delta_bg: 0.322, G_delta: 14.408, G_grad: 0.326, G_delta_grad: 0.274, G_lap: 0.226, G_ssim: 0.489, G_stats: 0.343, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 15, iters: 120, time: 0.261, data: 0.226) , G_GAN: 1.053, G_L1: 0.658, G_delta_bg: 0.317, G_delta: 11.585, G_grad: 0.301, G_delta_grad: 0.304, G_lap: 0.281, G_ssim: 0.502, G_stats: 0.202, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.007, D_fake: 0.006

[Rank 0] (epoch: 16, iters: 100, time: 0.259, data: 0.248) , G_GAN: 1.010, G_L1: 0.675, G_delta_bg: 0.314, G_delta: 11.823, G_grad: 0.292, G_delta_grad: 0.296, G_lap: 0.271, G_ssim: 0.497, G_stats: 0.229, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.009, D_fake: 0.006

[Rank 0] (epoch: 17, iters: 80, time: 0.796, data: 0.227) , G_GAN: 0.996, G_L1: 0.963, G_delta_bg: 0.322, G_delta: 17.757, G_grad: 0.378, G_delta_grad: 0.324, G_lap: 0.278, G_ssim: 0.592, G_stats: 0.377, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.008, D_fake: 0.006

[Rank 0] (epoch: 18, iters: 60, time: 0.260, data: 0.229) , G_GAN: 1.021, G_L1: 1.146, G_delta_bg: 0.313, G_delta: 19.728, G_grad: 0.319, G_delta_grad: 0.251, G_lap: 0.280, G_ssim: 0.585, G_stats: 0.368, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.009, D_fake: 0.004

[Rank 0] (epoch: 19, iters: 40, time: 0.259, data: 0.272) , G_GAN: 1.012, G_L1: 0.902, G_delta_bg: 0.306, G_delta: 15.634, G_grad: 0.308, G_delta_grad: 0.252, G_lap: 0.259, G_ssim: 0.560, G_stats: 0.257, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.005, D_fake: 0.003

[Rank 0] (epoch: 20, iters: 20, time: 0.260, data: 0.227) , G_GAN: 0.979, G_L1: 0.565, G_delta_bg: 0.298, G_delta: 9.364, G_grad: 0.290, G_delta_grad: 0.269, G_lap: 0.262, G_ssim: 0.454, G_stats: 0.211, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.007, D_fake: 0.003

[Rank 0] (epoch: 20, iters: 120, time: 0.704, data: 0.295) , G_GAN: 0.000, G_L1: 0.807, G_delta_bg: 0.269, G_delta: 12.905, G_grad: 0.271, G_delta_grad: 0.230, G_lap: 0.171, G_ssim: 0.433, G_stats: 0.327, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 21, iters: 100, time: 0.260, data: 0.229) , G_GAN: 1.022, G_L1: 1.095, G_delta_bg: 0.307, G_delta: 19.501, G_grad: 0.368, G_delta_grad: 0.321, G_lap: 0.273, G_ssim: 0.603, G_stats: 0.464, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.005, D_fake: 0.003

[Rank 0] (epoch: 22, iters: 80, time: 0.146, data: 0.288) , G_GAN: 0.000, G_L1: 0.723, G_delta_bg: 0.262, G_delta: 11.526, G_grad: 0.284, G_delta_grad: 0.209, G_lap: 0.196, G_ssim: 0.437, G_stats: 0.206, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

