================ Training Loss (Tue Mar  3 09:14:31 2026) ================
[Rank 0] (epoch: 31, iters: 100, time: 0.587, data: 0.145) , G_GAN: 0.264, G_L1: 0.440, D_real: 0.278, D_fake: 0.265, G_FM: 2.458

[Rank 0] (epoch: 32, iters: 80, time: 0.587, data: 0.003) , G_GAN: 0.259, G_L1: 0.508, D_real: 0.236, D_fake: 0.268, G_FM: 3.058

[Rank 0] (epoch: 33, iters: 60, time: 0.587, data: 0.003) , G_GAN: 0.256, G_L1: 0.538, D_real: 0.287, D_fake: 0.215, G_FM: 3.394

[Rank 0] (epoch: 34, iters: 40, time: 1.426, data: 0.003) , G_GAN: 0.267, G_L1: 0.467, D_real: 0.347, D_fake: 0.255, G_FM: 3.568

[Rank 0] (epoch: 35, iters: 20, time: 0.588, data: 0.003) , G_GAN: 0.278, G_L1: 0.416, D_real: 0.296, D_fake: 0.204, G_FM: 3.010

[Rank 0] (epoch: 35, iters: 120, time: 0.594, data: 0.004) , G_GAN: 0.630, G_L1: 0.440, D_real: 0.275, D_fake: 0.530, G_FM: 3.677

[Rank 0] (epoch: 36, iters: 100, time: 0.586, data: 0.145) , G_GAN: 0.244, G_L1: 0.449, D_real: 0.294, D_fake: 0.253, G_FM: 3.346

[Rank 0] (epoch: 37, iters: 80, time: 1.370, data: 0.003) , G_GAN: 0.250, G_L1: 0.386, D_real: 0.260, D_fake: 0.238, G_FM: 3.712

[Rank 0] (epoch: 38, iters: 60, time: 0.653, data: 0.003) , G_GAN: 0.283, G_L1: 0.415, D_real: 0.294, D_fake: 0.207, G_FM: 5.666

[Rank 0] (epoch: 39, iters: 40, time: 0.590, data: 0.004) , G_GAN: 0.398, G_L1: 0.440, D_real: 0.473, D_fake: 0.251, G_FM: 6.185

[Rank 0] (epoch: 40, iters: 20, time: 0.593, data: 0.003) , G_GAN: 0.274, G_L1: 0.435, D_real: 0.355, D_fake: 0.465, G_FM: 6.748

[Rank 0] (epoch: 40, iters: 120, time: 1.369, data: 0.003) , G_GAN: 0.497, G_L1: 0.487, D_real: 0.114, D_fake: 0.274, G_FM: 12.026

[Rank 0] (epoch: 41, iters: 100, time: 0.589, data: 0.151) , G_GAN: 0.683, G_L1: 0.464, D_real: 0.089, D_fake: 0.125, G_FM: 17.480

[Rank 0] (epoch: 42, iters: 80, time: 0.587, data: 0.003) , G_GAN: 0.565, G_L1: 0.410, D_real: 0.575, D_fake: 0.453, G_FM: 15.989

[Rank 0] (epoch: 43, iters: 60, time: 0.589, data: 0.003) , G_GAN: 0.802, G_L1: 0.382, D_real: 0.025, D_fake: 0.015, G_FM: 16.565

[Rank 0] (epoch: 44, iters: 40, time: 1.362, data: 0.003) , G_GAN: 0.351, G_L1: 0.432, D_real: 0.272, D_fake: 0.015, G_FM: 17.263

[Rank 0] (epoch: 45, iters: 20, time: 0.603, data: 0.003) , G_GAN: 0.857, G_L1: 0.496, D_real: 0.012, D_fake: 0.026, G_FM: 18.368

[Rank 0] (epoch: 45, iters: 120, time: 0.603, data: 0.003) , G_GAN: 0.779, G_L1: 0.410, D_real: 0.021, D_fake: 0.050, G_FM: 16.901

[Rank 0] (epoch: 46, iters: 100, time: 0.587, data: 0.154) , G_GAN: 0.570, G_L1: 0.376, D_real: 0.060, D_fake: 0.069, G_FM: 16.632

[Rank 0] (epoch: 47, iters: 80, time: 1.450, data: 0.003) , G_GAN: 0.978, G_L1: 0.437, D_real: 0.051, D_fake: 0.087, G_FM: 17.779

[Rank 0] (epoch: 48, iters: 60, time: 0.593, data: 0.005) , G_GAN: 0.818, G_L1: 0.426, D_real: 0.065, D_fake: 0.013, G_FM: 18.868

[Rank 0] (epoch: 49, iters: 40, time: 0.589, data: 0.003) , G_GAN: 1.047, G_L1: 0.393, D_real: 0.044, D_fake: 0.059, G_FM: 17.958

[Rank 0] (epoch: 50, iters: 20, time: 0.587, data: 0.003) , G_GAN: 1.226, G_L1: 0.428, D_real: 0.062, D_fake: 0.013, G_FM: 18.651

[Rank 0] (epoch: 50, iters: 120, time: 1.417, data: 0.003) , G_GAN: 1.112, G_L1: 0.432, D_real: 0.022, D_fake: 0.024, G_FM: 19.175

[Rank 0] (epoch: 51, iters: 100, time: 0.591, data: 0.145) , G_GAN: 0.806, G_L1: 0.422, D_real: 0.025, D_fake: 0.082, G_FM: 18.750

[Rank 0] (epoch: 52, iters: 80, time: 0.659, data: 0.003) , G_GAN: 0.568, G_L1: 0.430, D_real: 0.131, D_fake: 0.022, G_FM: 20.191

