================ Training Loss (Wed Mar  4 15:35:10 2026) ================
[Rank 0] (epoch: 7, iters: 160, time: 1.071, data: 0.004) , G_GAN: 1.017, G_L1: 15.113, G_delta_bg: 0.000, D_real: 0.006, D_fake: 0.005

[Rank 0] (epoch: 8, iters: 20, time: 0.308, data: 0.003) , G_GAN: 1.002, G_L1: 15.440, G_delta_bg: 0.000, D_real: 0.008, D_fake: 0.014

[Rank 0] (epoch: 8, iters: 120, time: 0.324, data: 0.003) , G_GAN: 1.013, G_L1: 15.294, G_delta_bg: 0.000, D_real: 0.009, D_fake: 0.006

[Rank 0] (epoch: 8, iters: 220, time: 0.311, data: 0.004) , G_GAN: 1.009, G_L1: 15.190, G_delta_bg: 0.000, D_real: 0.006, D_fake: 0.004

[Rank 0] (epoch: 9, iters: 80, time: 1.047, data: 0.004) , G_GAN: 1.064, G_L1: 15.362, G_delta_bg: 0.000, D_real: 0.014, D_fake: 0.009

[Rank 0] (epoch: 9, iters: 180, time: 0.321, data: 0.003) , G_GAN: 1.007, G_L1: 14.621, G_delta_bg: 0.000, D_real: 0.017, D_fake: 0.018

[Rank 0] (epoch: 10, iters: 40, time: 0.333, data: 0.004) , G_GAN: 1.000, G_L1: 14.645, G_delta_bg: 0.000, D_real: 0.004, D_fake: 0.002

[Rank 0] (epoch: 10, iters: 140, time: 0.310, data: 0.005) , G_GAN: 0.989, G_L1: 14.817, G_delta_bg: 0.000, D_real: 0.004, D_fake: 0.002

[Rank 0] (epoch: 10, iters: 240, time: 1.168, data: 0.004) , G_GAN: 1.000, G_L1: 14.517, G_delta_bg: 0.000, D_real: 0.003, D_fake: 0.003

[Rank 0] (epoch: 11, iters: 100, time: 0.311, data: 0.243) , G_GAN: 0.960, G_L1: 15.168, G_delta_bg: 0.000, D_real: 0.021, D_fake: 0.020

