================ Training Loss (Thu Mar 12 10:15:26 2026) ================
================ Training Loss (Thu Mar 12 10:16:41 2026) ================
[Rank 0] (epoch: 15, iters: 20, time: 0.257, data: 0.183) , G_GAN: 0.993, G_L1: 2.719, G_delta_bg: 0.275, G_delta: 30.276, G_grad: 0.295, G_delta_grad: 0.245, G_lap: 0.420, G_ssim: 0.365, G_stats: 0.392, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.026, D_fake: 0.019

[Rank 0] (epoch: 15, iters: 120, time: 0.265, data: 0.243) , G_GAN: 0.995, G_L1: 0.771, G_delta_bg: 0.272, G_delta: 14.353, G_grad: 0.437, G_delta_grad: 0.509, G_lap: 0.441, G_ssim: 0.364, G_stats: 0.118, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.031, D_fake: 0.018

[Rank 0] (epoch: 16, iters: 100, time: 0.148, data: 0.301) , G_GAN: 0.000, G_L1: 0.864, G_delta_bg: 0.289, G_delta: 15.004, G_grad: 0.448, G_delta_grad: 0.457, G_lap: 0.342, G_ssim: 0.365, G_stats: 0.100, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 17, iters: 80, time: 0.692, data: 0.216) , G_GAN: 0.000, G_L1: 3.147, G_delta_bg: 0.213, G_delta: 46.723, G_grad: 0.337, G_delta_grad: 0.366, G_lap: 0.257, G_ssim: 0.403, G_stats: 0.377, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 18, iters: 60, time: 0.247, data: 0.185) , G_GAN: 1.022, G_L1: 2.778, G_delta_bg: 0.277, G_delta: 30.434, G_grad: 0.309, G_delta_grad: 0.208, G_lap: 0.406, G_ssim: 0.385, G_stats: 0.408, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.018, D_fake: 0.019

[Rank 0] (epoch: 19, iters: 40, time: 0.253, data: 0.757) , G_GAN: 0.970, G_L1: 2.807, G_delta_bg: 0.271, G_delta: 31.077, G_grad: 0.268, G_delta_grad: 0.174, G_lap: 0.376, G_ssim: 0.326, G_stats: 0.406, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.012, D_fake: 0.013

[Rank 0] (epoch: 20, iters: 20, time: 0.250, data: 0.187) , G_GAN: 1.007, G_L1: 0.787, G_delta_bg: 0.266, G_delta: 12.566, G_grad: 0.426, G_delta_grad: 0.472, G_lap: 0.432, G_ssim: 0.386, G_stats: 0.082, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.006, D_fake: 0.004

================ Training Loss (Thu Mar 12 10:40:26 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.262, data: 0.184) , G_GAN: 0.635, G_L1: 2.357, G_delta_bg: 0.553, G_delta: 43.353, G_grad: 0.443, G_delta_grad: 0.659, G_lap: 0.540, G_ssim: 0.584, G_stats: 0.473, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.212, D_fake: 0.165

[Rank 0] (epoch: 2, iters: 80, time: 0.265, data: 0.222) , G_GAN: 0.812, G_L1: 0.690, G_delta_bg: 0.540, G_delta: 11.725, G_grad: 0.437, G_delta_grad: 0.486, G_lap: 0.571, G_ssim: 0.437, G_stats: 0.050, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.058, D_fake: 0.049

[Rank 0] (epoch: 3, iters: 60, time: 0.152, data: 0.219) , G_GAN: 0.000, G_L1: 1.137, G_delta_bg: 0.524, G_delta: 20.362, G_grad: 0.486, G_delta_grad: 0.509, G_lap: 0.462, G_ssim: 0.416, G_stats: 0.170, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 4, iters: 40, time: 0.666, data: 0.176) , G_GAN: 0.000, G_L1: 2.849, G_delta_bg: 0.478, G_delta: 32.155, G_grad: 0.185, G_delta_grad: 0.002, G_lap: 0.166, G_ssim: 0.162, G_stats: 0.412, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 5, iters: 20, time: 0.156, data: 0.175) , G_GAN: 0.000, G_L1: 1.140, G_delta_bg: 0.429, G_delta: 20.374, G_grad: 0.361, G_delta_grad: 0.405, G_lap: 0.352, G_ssim: 0.346, G_stats: 0.170, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 5, iters: 120, time: 0.162, data: 0.186) , G_GAN: 0.000, G_L1: 0.846, G_delta_bg: 0.430, G_delta: 13.817, G_grad: 0.467, G_delta_grad: 0.478, G_lap: 0.457, G_ssim: 0.371, G_stats: 0.084, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 6, iters: 100, time: 0.156, data: 0.184) , G_GAN: 0.000, G_L1: 0.938, G_delta_bg: 0.358, G_delta: 15.618, G_grad: 0.438, G_delta_grad: 0.462, G_lap: 0.417, G_ssim: 0.340, G_stats: 0.149, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 7, iters: 80, time: 0.735, data: 0.173) , G_GAN: 0.000, G_L1: 2.541, G_delta_bg: 0.278, G_delta: 32.728, G_grad: 0.274, G_delta_grad: 0.200, G_lap: 0.249, G_ssim: 0.327, G_stats: 0.421, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 8, iters: 60, time: 0.272, data: 0.177) , G_GAN: 0.924, G_L1: 0.863, G_delta_bg: 0.357, G_delta: 16.002, G_grad: 0.471, G_delta_grad: 0.551, G_lap: 0.525, G_ssim: 0.443, G_stats: 0.158, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.046, D_fake: 0.038

[Rank 0] (epoch: 9, iters: 40, time: 0.287, data: 0.180) , G_GAN: 0.931, G_L1: 0.647, G_delta_bg: 0.328, G_delta: 10.873, G_grad: 0.424, G_delta_grad: 0.459, G_lap: 0.464, G_ssim: 0.385, G_stats: 0.108, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.020, D_fake: 0.021

[Rank 0] (epoch: 10, iters: 20, time: 0.264, data: 0.263) , G_GAN: 1.033, G_L1: 3.403, G_delta_bg: 0.299, G_delta: 40.726, G_grad: 0.295, G_delta_grad: 0.199, G_lap: 0.433, G_ssim: 0.465, G_stats: 0.529, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.007, D_fake: 0.005

[Rank 0] (epoch: 10, iters: 120, time: 0.734, data: 0.251) , G_GAN: 0.000, G_L1: 0.657, G_delta_bg: 0.274, G_delta: 10.643, G_grad: 0.417, G_delta_grad: 0.409, G_lap: 0.394, G_ssim: 0.315, G_stats: 0.086, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 11, iters: 100, time: 0.155, data: 0.183) , G_GAN: 0.000, G_L1: 0.715, G_delta_bg: 0.286, G_delta: 11.969, G_grad: 0.353, G_delta_grad: 0.362, G_lap: 0.314, G_ssim: 0.297, G_stats: 0.095, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 12, iters: 80, time: 0.279, data: 0.181) , G_GAN: 0.967, G_L1: 2.638, G_delta_bg: 0.293, G_delta: 29.912, G_grad: 0.257, G_delta_grad: 0.229, G_lap: 0.350, G_ssim: 0.299, G_stats: 0.396, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.014, D_fake: 0.005

[Rank 0] (epoch: 13, iters: 60, time: 0.267, data: 0.189) , G_GAN: 1.056, G_L1: 2.816, G_delta_bg: 0.291, G_delta: 30.894, G_grad: 0.306, G_delta_grad: 0.209, G_lap: 0.362, G_ssim: 0.387, G_stats: 0.405, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.008, D_fake: 0.009

[Rank 0] (epoch: 14, iters: 40, time: 0.827, data: 0.240) , G_GAN: 0.928, G_L1: 0.714, G_delta_bg: 0.292, G_delta: 13.023, G_grad: 0.473, G_delta_grad: 0.557, G_lap: 0.493, G_ssim: 0.421, G_stats: 0.087, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.006, D_fake: 0.008

[Rank 0] (epoch: 15, iters: 20, time: 0.272, data: 0.180) , G_GAN: 1.005, G_L1: 2.633, G_delta_bg: 0.275, G_delta: 29.817, G_grad: 0.288, G_delta_grad: 0.254, G_lap: 0.395, G_ssim: 0.348, G_stats: 0.418, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.011, D_fake: 0.006

[Rank 0] (epoch: 15, iters: 120, time: 0.299, data: 0.179) , G_GAN: 0.971, G_L1: 0.588, G_delta_bg: 0.277, G_delta: 9.873, G_grad: 0.381, G_delta_grad: 0.411, G_lap: 0.408, G_ssim: 0.306, G_stats: 0.074, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.004, D_fake: 0.004

[Rank 0] (epoch: 16, iters: 100, time: 0.275, data: 0.183) , G_GAN: 1.044, G_L1: 0.671, G_delta_bg: 0.293, G_delta: 13.528, G_grad: 0.484, G_delta_grad: 0.551, G_lap: 0.424, G_ssim: 0.379, G_stats: 0.088, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.016, D_fake: 0.012

[Rank 0] (epoch: 17, iters: 80, time: 0.862, data: 0.236) , G_GAN: 1.027, G_L1: 2.773, G_delta_bg: 0.269, G_delta: 30.646, G_grad: 0.269, G_delta_grad: 0.183, G_lap: 0.395, G_ssim: 0.337, G_stats: 0.440, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.004, D_fake: 0.002

[Rank 0] (epoch: 18, iters: 60, time: 0.160, data: 0.232) , G_GAN: 0.000, G_L1: 3.009, G_delta_bg: 0.248, G_delta: 38.360, G_grad: 0.298, G_delta_grad: 0.235, G_lap: 0.216, G_ssim: 0.331, G_stats: 0.485, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 19, iters: 40, time: 0.281, data: 0.271) , G_GAN: 1.052, G_L1: 0.705, G_delta_bg: 0.284, G_delta: 13.802, G_grad: 0.510, G_delta_grad: 0.616, G_lap: 0.454, G_ssim: 0.426, G_stats: 0.059, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.004, D_fake: 0.003

[Rank 0] (epoch: 20, iters: 20, time: 0.282, data: 0.188) , G_GAN: 0.980, G_L1: 2.737, G_delta_bg: 0.267, G_delta: 30.544, G_grad: 0.250, G_delta_grad: 0.209, G_lap: 0.361, G_ssim: 0.295, G_stats: 0.398, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.008, D_fake: 0.008

