================ Training Loss (Thu Mar 12 14:16:54 2026) ================
[Rank 0] (epoch: 15, iters: 20, time: 0.263, data: 0.219) , G_GAN: 0.961, G_L1: 0.376, G_delta_bg: 0.394, G_delta: 5.400, G_grad: 0.451, G_delta_grad: 0.464, G_lap: 0.460, G_ssim: 0.278, G_stats: 0.108, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.006, D_fake: 0.008

[Rank 0] (epoch: 15, iters: 120, time: 0.291, data: 0.220) , G_GAN: 0.929, G_L1: 0.375, G_delta_bg: 0.388, G_delta: 5.529, G_grad: 0.427, G_delta_grad: 0.439, G_lap: 0.429, G_ssim: 0.250, G_stats: 0.087, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.009, D_fake: 0.007

[Rank 0] (epoch: 16, iters: 100, time: 0.144, data: 0.215) , G_GAN: 0.000, G_L1: 0.330, G_delta_bg: 0.354, G_delta: 4.838, G_grad: 0.325, G_delta_grad: 0.336, G_lap: 0.293, G_ssim: 0.161, G_stats: 0.099, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 17, iters: 80, time: 0.802, data: 0.220) , G_GAN: 0.964, G_L1: 0.532, G_delta_bg: 0.360, G_delta: 9.709, G_grad: 0.404, G_delta_grad: 0.523, G_lap: 0.443, G_ssim: 0.258, G_stats: 0.094, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.005, D_fake: 0.003

[Rank 0] (epoch: 18, iters: 60, time: 0.265, data: 0.257) , G_GAN: 0.977, G_L1: 0.429, G_delta_bg: 0.381, G_delta: 7.472, G_grad: 0.535, G_delta_grad: 0.572, G_lap: 0.492, G_ssim: 0.335, G_stats: 0.095, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.005, D_fake: 0.004

[Rank 0] (epoch: 19, iters: 40, time: 0.275, data: 0.220) , G_GAN: 1.035, G_L1: 0.383, G_delta_bg: 0.354, G_delta: 5.481, G_grad: 0.413, G_delta_grad: 0.447, G_lap: 0.422, G_ssim: 0.249, G_stats: 0.086, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.006, D_fake: 0.004

================ Training Loss (Thu Mar 12 14:31:24 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.151, data: 0.274) , G_GAN: 0.000, G_L1: 0.918, G_delta_bg: 0.582, G_delta: 14.708, G_grad: 0.444, G_delta_grad: 0.397, G_lap: 0.915, G_ssim: 0.457, G_stats: 0.130, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 2, iters: 80, time: 0.262, data: 0.220) , G_GAN: 0.869, G_L1: 0.805, G_delta_bg: 0.613, G_delta: 13.529, G_grad: 0.512, G_delta_grad: 0.473, G_lap: 0.718, G_ssim: 0.496, G_stats: 0.046, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.130, D_fake: 0.126

[Rank 0] (epoch: 3, iters: 60, time: 0.276, data: 0.225) , G_GAN: 1.027, G_L1: 0.562, G_delta_bg: 0.584, G_delta: 9.747, G_grad: 0.423, G_delta_grad: 0.506, G_lap: 0.601, G_ssim: 0.363, G_stats: 0.118, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.041, D_fake: 0.034

[Rank 0] (epoch: 4, iters: 40, time: 0.814, data: 0.228) , G_GAN: 1.014, G_L1: 0.791, G_delta_bg: 0.567, G_delta: 13.754, G_grad: 0.446, G_delta_grad: 0.527, G_lap: 0.645, G_ssim: 0.423, G_stats: 0.150, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.056, D_fake: 0.062

[Rank 0] (epoch: 5, iters: 20, time: 0.272, data: 0.225) , G_GAN: 1.011, G_L1: 0.388, G_delta_bg: 0.548, G_delta: 5.964, G_grad: 0.427, G_delta_grad: 0.472, G_lap: 0.524, G_ssim: 0.336, G_stats: 0.077, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.024, D_fake: 0.020

[Rank 0] (epoch: 5, iters: 120, time: 0.140, data: 0.229) , G_GAN: 0.000, G_L1: 0.392, G_delta_bg: 0.552, G_delta: 6.248, G_grad: 0.398, G_delta_grad: 0.406, G_lap: 0.463, G_ssim: 0.261, G_stats: 0.057, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 6, iters: 100, time: 0.266, data: 0.215) , G_GAN: 0.988, G_L1: 0.403, G_delta_bg: 0.559, G_delta: 6.104, G_grad: 0.456, G_delta_grad: 0.410, G_lap: 0.573, G_ssim: 0.334, G_stats: 0.049, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.020, D_fake: 0.016

[Rank 0] (epoch: 7, iters: 80, time: 0.833, data: 0.226) , G_GAN: 0.973, G_L1: 0.434, G_delta_bg: 0.530, G_delta: 6.697, G_grad: 0.417, G_delta_grad: 0.466, G_lap: 0.496, G_ssim: 0.320, G_stats: 0.095, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.022, D_fake: 0.018

[Rank 0] (epoch: 8, iters: 60, time: 0.267, data: 0.218) , G_GAN: 1.041, G_L1: 0.672, G_delta_bg: 0.542, G_delta: 10.585, G_grad: 0.405, G_delta_grad: 0.458, G_lap: 0.513, G_ssim: 0.375, G_stats: 0.096, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.012, D_fake: 0.010

[Rank 0] (epoch: 9, iters: 40, time: 0.154, data: 0.221) , G_GAN: 0.000, G_L1: 0.441, G_delta_bg: 0.553, G_delta: 6.643, G_grad: 0.444, G_delta_grad: 0.445, G_lap: 0.483, G_ssim: 0.264, G_stats: 0.083, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 10, iters: 20, time: 0.271, data: 0.230) , G_GAN: 1.008, G_L1: 0.596, G_delta_bg: 0.512, G_delta: 10.144, G_grad: 0.420, G_delta_grad: 0.463, G_lap: 0.463, G_ssim: 0.371, G_stats: 0.055, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.018, D_fake: 0.016

[Rank 0] (epoch: 10, iters: 120, time: 0.783, data: 0.227) , G_GAN: 1.023, G_L1: 0.710, G_delta_bg: 0.552, G_delta: 13.330, G_grad: 0.562, G_delta_grad: 0.627, G_lap: 0.523, G_ssim: 0.475, G_stats: 0.124, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.019, D_fake: 0.017

[Rank 0] (epoch: 11, iters: 100, time: 0.148, data: 0.222) , G_GAN: 0.000, G_L1: 0.523, G_delta_bg: 0.420, G_delta: 8.496, G_grad: 0.377, G_delta_grad: 0.381, G_lap: 0.376, G_ssim: 0.234, G_stats: 0.129, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 12, iters: 80, time: 0.273, data: 0.229) , G_GAN: 1.002, G_L1: 0.399, G_delta_bg: 0.488, G_delta: 6.655, G_grad: 0.403, G_delta_grad: 0.489, G_lap: 0.455, G_ssim: 0.259, G_stats: 0.061, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.012, D_fake: 0.009

[Rank 0] (epoch: 13, iters: 60, time: 0.251, data: 0.225) , G_GAN: 0.991, G_L1: 0.341, G_delta_bg: 0.470, G_delta: 5.124, G_grad: 0.420, G_delta_grad: 0.481, G_lap: 0.442, G_ssim: 0.288, G_stats: 0.081, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.005, D_fake: 0.005

[Rank 0] (epoch: 14, iters: 40, time: 0.810, data: 0.228) , G_GAN: 1.015, G_L1: 0.466, G_delta_bg: 0.468, G_delta: 7.184, G_grad: 0.429, G_delta_grad: 0.487, G_lap: 0.444, G_ssim: 0.312, G_stats: 0.112, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.006, D_fake: 0.004

[Rank 0] (epoch: 15, iters: 20, time: 0.279, data: 0.276) , G_GAN: 0.980, G_L1: 0.573, G_delta_bg: 0.477, G_delta: 9.102, G_grad: 0.400, G_delta_grad: 0.442, G_lap: 0.445, G_ssim: 0.343, G_stats: 0.099, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.010, D_fake: 0.005

[Rank 0] (epoch: 15, iters: 120, time: 0.267, data: 0.222) , G_GAN: 0.940, G_L1: 0.327, G_delta_bg: 0.466, G_delta: 4.744, G_grad: 0.460, G_delta_grad: 0.427, G_lap: 0.478, G_ssim: 0.298, G_stats: 0.073, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.010, D_fake: 0.005

[Rank 0] (epoch: 16, iters: 100, time: 0.262, data: 0.217) , G_GAN: 0.962, G_L1: 0.580, G_delta_bg: 0.465, G_delta: 9.061, G_grad: 0.449, G_delta_grad: 0.457, G_lap: 0.454, G_ssim: 0.354, G_stats: 0.125, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.009, D_fake: 0.004

[Rank 0] (epoch: 17, iters: 80, time: 0.806, data: 0.220) , G_GAN: 0.981, G_L1: 0.350, G_delta_bg: 0.433, G_delta: 5.081, G_grad: 0.433, G_delta_grad: 0.446, G_lap: 0.427, G_ssim: 0.261, G_stats: 0.093, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.008, D_fake: 0.004

[Rank 0] (epoch: 18, iters: 60, time: 0.259, data: 0.226) , G_GAN: 0.964, G_L1: 0.590, G_delta_bg: 0.440, G_delta: 9.441, G_grad: 0.454, G_delta_grad: 0.495, G_lap: 0.493, G_ssim: 0.368, G_stats: 0.095, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.008, D_fake: 0.005

[Rank 0] (epoch: 19, iters: 40, time: 0.256, data: 0.267) , G_GAN: 1.023, G_L1: 0.565, G_delta_bg: 0.439, G_delta: 11.222, G_grad: 0.422, G_delta_grad: 0.588, G_lap: 0.453, G_ssim: 0.366, G_stats: 0.026, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.005, D_fake: 0.003

[Rank 0] (epoch: 20, iters: 20, time: 0.251, data: 0.219) , G_GAN: 0.944, G_L1: 0.333, G_delta_bg: 0.399, G_delta: 4.919, G_grad: 0.401, G_delta_grad: 0.446, G_lap: 0.443, G_ssim: 0.260, G_stats: 0.084, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.007, D_fake: 0.006

[Rank 0] (epoch: 20, iters: 120, time: 0.800, data: 0.226) , G_GAN: 1.011, G_L1: 0.350, G_delta_bg: 0.401, G_delta: 5.169, G_grad: 0.441, G_delta_grad: 0.476, G_lap: 0.457, G_ssim: 0.264, G_stats: 0.097, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.012, D_fake: 0.010

[Rank 0] (epoch: 21, iters: 100, time: 0.140, data: 0.218) , G_GAN: 0.000, G_L1: 0.824, G_delta_bg: 0.425, G_delta: 13.610, G_grad: 0.463, G_delta_grad: 0.437, G_lap: 0.433, G_ssim: 0.333, G_stats: 0.118, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 22, iters: 80, time: 0.263, data: 0.223) , G_GAN: 0.983, G_L1: 0.606, G_delta_bg: 0.404, G_delta: 9.508, G_grad: 0.451, G_delta_grad: 0.458, G_lap: 0.436, G_ssim: 0.357, G_stats: 0.106, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.005, D_fake: 0.003

[Rank 0] (epoch: 23, iters: 60, time: 0.268, data: 0.223) , G_GAN: 1.028, G_L1: 0.337, G_delta_bg: 0.375, G_delta: 4.948, G_grad: 0.375, G_delta_grad: 0.416, G_lap: 0.391, G_ssim: 0.235, G_stats: 0.089, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.052, D_fake: 0.043

[Rank 0] (epoch: 24, iters: 40, time: 0.831, data: 0.295) , G_GAN: 0.949, G_L1: 0.528, G_delta_bg: 0.387, G_delta: 8.871, G_grad: 0.413, G_delta_grad: 0.456, G_lap: 0.412, G_ssim: 0.365, G_stats: 0.082, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.009, D_fake: 0.005

[Rank 0] (epoch: 25, iters: 20, time: 0.250, data: 0.220) , G_GAN: 0.999, G_L1: 0.333, G_delta_bg: 0.364, G_delta: 5.202, G_grad: 0.426, G_delta_grad: 0.414, G_lap: 0.472, G_ssim: 0.248, G_stats: 0.068, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.005, D_fake: 0.005

