================ Training Loss (Fri Mar  6 10:49:14 2026) ================
[Rank 0] (epoch: 9, iters: 180, time: 0.245, data: 0.165) , G_GAN: 0.983, G_L1: 0.647, G_delta_bg: 0.228, G_delta: 8.970, G_grad: 0.534, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.008, D_fake: 0.004

[Rank 0] (epoch: 10, iters: 40, time: 0.245, data: 0.102) , G_GAN: 1.004, G_L1: 0.623, G_delta_bg: 0.225, G_delta: 8.707, G_grad: 0.449, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.009, D_fake: 0.006

[Rank 0] (epoch: 10, iters: 140, time: 0.244, data: 0.146) , G_GAN: 1.007, G_L1: 0.452, G_delta_bg: 0.256, G_delta: 11.331, G_grad: 0.565, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.005, D_fake: 0.004

[Rank 0] (epoch: 10, iters: 240, time: 0.870, data: 0.142) , G_GAN: 0.985, G_L1: 0.443, G_delta_bg: 0.255, G_delta: 11.533, G_grad: 0.610, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.013, D_fake: 0.010

[Rank 0] (epoch: 11, iters: 100, time: 0.243, data: 0.148) , G_GAN: 0.961, G_L1: 0.715, G_delta_bg: 0.243, G_delta: 13.334, G_grad: 0.559, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.004, D_fake: 0.007

[Rank 0] (epoch: 11, iters: 200, time: 0.242, data: 0.150) , G_GAN: 0.996, G_L1: 0.414, G_delta_bg: 0.255, G_delta: 11.601, G_grad: 0.531, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.010, D_fake: 0.009

[Rank 0] (epoch: 12, iters: 60, time: 0.244, data: 0.168) , G_GAN: 0.991, G_L1: 0.467, G_delta_bg: 0.254, G_delta: 12.550, G_grad: 0.731, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.010, D_fake: 0.004

[Rank 0] (epoch: 12, iters: 160, time: 0.864, data: 0.172) , G_GAN: 0.977, G_L1: 0.456, G_delta_bg: 0.255, G_delta: 13.772, G_grad: 0.777, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.017, D_fake: 0.014

[Rank 0] (epoch: 13, iters: 20, time: 0.241, data: 0.104) , G_GAN: 1.001, G_L1: 0.804, G_delta_bg: 0.222, G_delta: 11.345, G_grad: 0.506, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.008, D_fake: 0.009

[Rank 0] (epoch: 13, iters: 120, time: 0.243, data: 0.102) , G_GAN: 1.107, G_L1: 0.690, G_delta_bg: 0.227, G_delta: 9.528, G_grad: 0.497, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.036, D_fake: 0.024

[Rank 0] (epoch: 13, iters: 220, time: 0.242, data: 0.108) , G_GAN: 1.037, G_L1: 0.739, G_delta_bg: 0.231, G_delta: 11.436, G_grad: 0.500, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.009, D_fake: 0.011

[Rank 0] (epoch: 14, iters: 80, time: 0.838, data: 0.115) , G_GAN: 0.971, G_L1: 0.578, G_delta_bg: 0.255, G_delta: 18.271, G_grad: 0.811, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.031, D_fake: 0.005

[Rank 0] (epoch: 14, iters: 180, time: 0.226, data: 0.100) , G_GAN: 1.028, G_L1: 0.511, G_delta_bg: 0.254, G_delta: 13.548, G_grad: 0.691, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.004, D_fake: 0.003

[Rank 0] (epoch: 15, iters: 40, time: 0.238, data: 0.101) , G_GAN: 1.010, G_L1: 0.423, G_delta_bg: 0.254, G_delta: 11.506, G_grad: 0.592, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.006, D_fake: 0.004

[Rank 0] (epoch: 15, iters: 140, time: 0.232, data: 0.173) , G_GAN: 0.996, G_L1: 0.676, G_delta_bg: 0.224, G_delta: 9.680, G_grad: 0.502, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.014, D_fake: 0.013

